# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  4 07:43:34 2015
#
# CONSTRAINT:  order by kepid desc
#
# COLUMN kepid:          (not found)
# COLUMN tce_plnt_num:   Planet Number
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_ingress:    Ingress Duration [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
#
rowid,kepid,tce_plnt_num,tce_period,tce_time0bk,tce_duration,tce_ingress,tce_depth
19327,12553358,2,2.951980,132.856,5.1450,5.7790000e-02,4.1530000e+01
19321,12520187,1,0.536210,131.581,1.7790,6.4340000e-03,1.2540000e+01
19320,12519942,1,15.341500,134.991,1.8800,6.8450000e-02,2.9540000e+02
19319,12509829,2,0.888455,132.318,1.3560,2.4620000e-02,2.1800000e+02
19427,12509829,1,0.888456,131.877,1.3590,2.0340000e-02,2.2720000e+02
19425,12509148,2,1.206880,132.340,1.3980,9.3930000e-01,2.9810000e+01
19426,12509148,3,1.932830,133.423,6.4900,3.1760000e-02,1.9670000e+01
20340,12509148,1,1.556300,131.965,3.0960,1.4590000e-02,2.3880000e+01
20337,12508604,1,1.082980,132.380,3.1920,2.4520000e-02,2.9680000e+01
20338,12508604,2,0.557521,131.722,2.0000,3.3350000e-02,3.2980000e+02
20339,12508604,3,1.114970,132.603,2.8670,2.6490000e-02,4.5680000e+01
20336,12508335,1,42.943800,155.207,3.7390,3.4930000e+00,9.8220000e+03
20273,12507325,1,1.086420,132.022,3.4150,1.5090000e-02,2.3430000e+01
20274,12507325,2,1.272080,131.727,9.7340,2.6310000e-02,8.9360000e+00
20272,12506770,1,2.806220,133.737,1.7270,2.2070000e-01,5.4650000e+02
20219,12506665,1,0.579987,131.744,1.2910,3.9000000e-02,3.0230000e+01
20218,12506351,1,1.227760,132.558,2.5280,1.0040000e+00,4.4490000e+04
20217,12506342,1,1.227760,132.560,1.6940,4.2410000e-02,3.0970000e+02
